,m,x,r,n,uj,d,v,ns,vn,p,nr,y,f,an,nt,c,a,zg,j,eng,l,df,q,g,ul,ug,nz,ad,t,i,uz,b,s,ud,uv,nrt,u,k,nrfg,z,ag,o,mq,ng,e,h,vq,rz,vg,vd,yg,rr,tg,vi,dg
怎么,,,"(757, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本,,,,"(73, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
把,,,,,,,,,,"(267, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当,,,,,,,,,,"(44, 11056)",,,,,,,,,,,,,,,,,,,"(76, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
敌国,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而且,,,,,,,,,,,,,,,,"(198, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
必,,,,,,"(5, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一战,,,,,,,,,,,,,,,,,,,"(3, 733)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
假想敌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
17962,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨,,,,,,,,,,,"(295, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安泽,,,,,,,,,,,"(283, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
带,,,,,,,"(318, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妻儿,,,,"(255, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外出,,,,,,,"(256, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
购物,,,,"(257, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国,,,,,,,,"(3333, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发文,,,,"(260, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
称,,,,,,,"(528, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,,"(1682, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
感到,,,,,,,"(295, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
羞耻,,,,,,,,,,,,,,,,,"(276, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
」,,"(1682, 47960)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
货,,,,"(4, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
挺,,,,,,"(121, 16573)","(1, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聪明,,,,,,,,,,,,,,,,,"(27, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可惜,,,,,,,"(5, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
啥,,,"(102, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
智慧,,,,,,,,,,,"(5, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16257,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现今,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(513, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
严重,,,,,,,,,,,,,,,,,"(1391, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寻思,,,,,,,,,,,"(7, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(201, 201)",,,,,,,,,,,,,,,,,,,,,,,,
黑,,,,"(26, 56016)",,,,,,,,,,,,,"(236, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和,,,,,,,,,,,,,,,,"(1394, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部,,,,,,,,,,,,,"(24, 3193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民族矛盾,,,,,,,,,,,,,,,,,,,,,"(3, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解决,,,,,,,"(23, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23710,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你们,,,"(432, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处在,,,,,,,"(262, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中,,,,,,,,"(1, 16415)",,,,,"(476, 3193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最底层,,,,"(297, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一个,"(881, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是否,,,,,,,"(196, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在于,,,,,,,"(27, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
种族,,,,"(210, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
肤色,,,,"(107, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阶级,,,,"(39, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19736,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因说,,,,,,,,,,,,,,,,"(256, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中文,,,,,,,,,,,,,,,,,,,,,,,,,,,"(462, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
内个,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(292, 1023)",,,,,,,,,,,,,,,,,,,,,,,
冒犯,,,,,,,"(260, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
停课,,,,,,,"(258, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处分,,,,"(256, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原来,,,,,,"(14, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negero,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
侮辱,,,,,,,"(12, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
性质,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
词,,,,"(48, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还是,,,,,,,,,,,,,,,,"(535, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
考研,,,,,,,,,"(1, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英语,,,,,,,,,,,,,,,,,,,,,,,,,,,"(35, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
大纲,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,,,,,,,,,,,,"(446, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22450,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每次,,,"(19, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,"(213, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京,,,,,,,,"(41, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
准,,,,,,,"(4, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有人,,,"(171, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
问,,,,"(40, 56016)",,,"(131, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
住,,,,,,,"(32, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几环,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5200,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
两个,"(338, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,"(293, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
报告,,,,"(252, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"(251, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
起,,,,,,,"(276, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仇恨,,,,"(283, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
事件,,,,"(308, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出现,,,,,,,"(410, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这种,,,"(685, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
情况,,,,"(465, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原因,,,,"(353, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可能,,,,,,,"(463, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
什么,,,"(1303, 23035)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
往年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
唐人街,,,,,,,,,,,"(5, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人声鼎沸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
不同,,,,,,,,,,,,,,,,,"(97, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
近,,,,,,,,,,,,,,,,,"(12, 9827)",,,,,,,,,,,,"(2, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
一两年,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
受,,,,,,,"(52, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疫情,,,,"(38, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影响,,,,,,,,,"(49, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旅游业,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不如,,,,,,,,,,,,,,,,"(23, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
从前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(4, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
虽,,,,,,,,,,,,,,,,"(5, 9774)",,"(3, 1156)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不至于,,,,,,,,,,,,,,,,"(4, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萧条,,,,,,,,,,,,,,,,,"(1, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,,,,,,,,,,,,,,,,"(206, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确实,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(70, 807)",,,,,,,,,,,,,,,,,,,,,,,,,,,
冷清,,,,,,,,,,,"(1, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一些,"(481, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16527,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白人,,,,"(1311, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为主,,,,,,,"(252, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西方,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(308, 1085)",,,,,,,,,,,,,,,,,,,,,,
文明,,,,,,,,,,,"(293, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
允许,,,,,,,"(264, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高,,,,"(5, 56016)",,,,,,,,,,,,,"(541, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地位,,,,"(805, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本来,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(77, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
不想,,,,,,,"(35, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想,,,,,,,"(203, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
让,,,,,,,"(190, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老实,,,,"(8, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奴隶,,,,"(141, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
或者,,,,,,,,,,,,,,,,"(101, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3, 1023)",,,,,,,,,,,,,,,,,,,,,,,
公民,,,,"(27, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
结果,,,,"(281, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导致,,,,,,,"(37, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内战,,,,"(3, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
严重破坏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(1, 1174)",,,,,,,,,,,,,,,,,,,,,,,,,
社会,,,,"(347, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生产力,,,,"(7, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23778,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
么,,,,,,,,,,,"(4, 4753)","(56, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16598,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
道德,,,,,,,,,,,"(14, 4753)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
绑架,,,,,,,"(8, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反而,,,,,,,,,,,,,,,,"(25, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无疑,,,,,,"(2, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
威胁,,,,,,,,,"(17, 2566)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大学,,,,"(104, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
教学质量,,,,"(1, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23267,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
为了,,,,,,,,,,"(71, 11056)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
更加,,,,,,"(31, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
认同,,,,,,,"(38, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
身份,,,,"(39, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
需要,,,,,,,"(90, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(485, 485)",,,,,,,,,,,,,,,,,,,,,
更,,,,,,"(226, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
多,"(1087, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16263,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已经,,,,,,"(164, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到,,,,,,,"(285, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
偏见,,,,,,,"(145, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当成,,,,,,,"(14, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(76, 1023)",,,,,,,,,,,,,,,,,,,,,,,
19936,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大学生,,,,"(5, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勉强,,,,,,,"(2, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回答,,,,,,,"(234, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一下,"(199, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19364,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19927,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
总,,,,"(2, 56016)",,"(2, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,"(32, 1023)",,,,,,,,,,,,,,,,,,,,,,,
印度,,,,,,,,"(86, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不行,,,,,,,"(33, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但是,,,,,,,,,,,,,,,,"(223, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际,,,,"(33, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上,,,,,,,"(13, 55737)","(9, 16415)",,,,,"(801, 3193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非常,,,,,,"(131, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厉害,,,,,,,,,,,,,,,,,"(34, 9827)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先,,,,,,"(120, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是不是,,,,,,,,,,,,,,,,,,,,,"(194, 4726)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
再,,,,,,"(109, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17315,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
还,,,,,,"(637, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以,,,,,,,,,,,,,,,,"(308, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始,,,,,,,"(4, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太丑,,,,"(2, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22031,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白族,,,,,,,,,,,,,,,,,,,,,,,,,,,"(76, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(5, 2381)",,,,,,,,,,,,,,,,,,,,,,,,,,
說,,,,,,,"(14, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白語,,,,,,,,,,,,,,,,,,,,,,,,,,,"(5, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
還是,,,,,,,,,,,,,,,,"(5, 9774)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漢語,,,,,,,,,,,,,,,,,,,,,,,,,,,"(6, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
同胞,,,,"(62, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
會,,,,,,,"(11, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
覺得,,,,,,,"(6, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漢,,,,,,,,,,,,,,,,,,,"(6, 733)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗎,,,,,,,,,,,,"(6, 3968)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土生土长,,,,"(24, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大理白族自治州,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
剑川县,,,,,,,,"(1, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
话,,,,"(79, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可,,,,,,,"(35, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正宗,,,,,,,,,,,,,,,,,,,,,,,,,,,"(3, 3186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
普通话,,,,"(16, 56016)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不了,,,,,,,"(324, 55737)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5600,"(1, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长相,,,,,,"(69, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
到底,,,,,,"(38, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
广州,,,,,,,,"(17, 16415)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真是,,,,,,"(47, 16573)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feel,,,,,,,,,,,,,,,,,,,,"(1, 2157)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十几年,"(13, 18687)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
